Time,Values
0.31,-0.176065462
0.3105,-0.169460345
0.311,-0.169352681
0.3115,-0.160815078
0.312,-0.143198645
0.3125,-0.129141877
0.313,-0.117775376
0.3135,-0.107372988
0.314,-0.078117917
0.3145,-0.016183917
0.315,0.062103846
0.3155,0.11784911
0.316,0.134971831
0.3165,0.133354917
0.317,0.143135843
0.3175,0.173985155
0.318,0.212768757
0.3185,0.227579649
0.319,0.202864888
0.3195,0.152739725
0.32,0.12325541
0.3205,0.12577481
0.321,0.129085504
0.3215,0.106082108
0.322,0.075557825
0.3225,0.051732625
0.323,0.044788704
0.3235,0.048097974
0.324,0.04836742
0.3245,0.0495345
0.325,0.062282549
0.3255,0.071750035
0.326,0.070618078
0.3265,0.04906514
0.327,-0.000166276
0.3275,-0.059350867
0.328,-0.09276165
0.3285,-0.094553175
0.329,-0.081344414
0.3295,-0.072339254
0.33,-0.073427727
0.3305,-0.0830618
0.331,-0.092202861
0.3315,-0.102660724
0.332,-0.105727573
0.3325,-0.100612277
0.333,-0.100358995
0.3335,-0.123193202
0.334,-0.15261897
0.3345,-0.164346963
0.335,-0.150403145
0.3355,-0.128778572
0.336,-0.10935284
0.3365,-0.07641287
0.337,-0.030002932
0.3375,-0.00348144
0.338,0.004216965
0.3385,0.015363249
0.339,0.0308205
0.3395,0.036056891
0.34,0.029228817
0.3405,0.016863318
0.341,0.013544409
0.3415,0.029470014
0.342,0.047550834
0.3425,0.044881553
0.343,0.013806493
0.3435,-0.025946135
0.344,-0.053695522
0.3445,-0.069522858
0.345,-0.084653653
0.3455,-0.095481369
0.346,-0.096478254
0.3465,-0.076029241
0.347,-0.036783701
0.3475,0.024726275
0.348,0.088533371
0.3485,0.126877969
0.349,0.123231179
0.3495,0.100947773
0.35,0.099539038
0.3505,0.132213511
0.351,0.166289366
0.3515,0.188828551
0.352,0.194045073
0.3525,0.181539994
0.353,0.156022245
0.3535,0.131507834
0.354,0.097828963
0.3545,0.067933604
0.355,0.063812862
0.3555,0.083401867
0.356,0.090995291
0.3565,0.074018001
0.357,0.041859152
0.3575,0.022498006
0.358,0.018848822
0.3585,0.013238177
0.359,-0.009234959
0.3595,-0.042037726
0.36,-0.087032394
0.3605,-0.134578633
0.361,-0.173839421
0.3615,-0.195731063
0.362,-0.204326924
0.3625,-0.207458025
0.363,-0.218413942
0.3635,-0.22042063
0.364,-0.211037361
0.3645,-0.201153553
0.365,-0.186376549
0.3655,-0.15130407
0.366,-0.109823753
0.3665,-0.069845899
0.367,-0.035483812
0.3675,-0.013613929
0.368,-0.006083281
0.3685,0.006950349
0.369,0.036162685
0.3695,0.076480666
0.37,0.115960462
0.3705,0.152390509
0.371,0.171456945
0.3715,0.166340343
0.372,0.125434565
0.3725,0.074326043
0.373,0.041078034
0.3735,0.034858381
0.374,0.031777503
0.3745,0.023329535
0.375,0.005971396
0.3755,-0.012997276
0.376,-0.036102018
0.3765,-0.050912775
0.377,-0.039075496
0.3775,-0.002575697
0.378,0.010252755
0.3785,-0.003206096
0.379,-0.031221014
0.3795,-0.06428272
0.38,-0.092269293
0.3805,-0.09264981
0.381,-0.070845663
0.3815,-0.034128255
0.382,0.006557094
0.3825,0.047743183
0.383,0.074810334
0.3835,0.092302717
0.384,0.099407943
0.3845,0.099412498
0.385,0.090109732
0.3855,0.085598809
0.386,0.085871835
0.3865,0.090213786
0.387,0.096783488
0.3875,0.109809896
0.388,0.114026336
0.3885,0.107117418
0.389,0.090758114
0.3895,0.071774167
0.39,0.044387356
0.3905,0.04224982
0.391,0.074451258
0.3915,0.104515115
0.392,0.105014376
0.3925,0.085446174
0.393,0.054794468
0.3935,0.018280496
0.394,-0.027675278
0.3945,-0.087022938
0.395,-0.141092526
0.3955,-0.157107805
0.396,-0.137623718
0.3965,-0.109310834
0.397,-0.091240358
0.3975,-0.070456429
0.398,-0.034065041
0.3985,0.010827134
0.399,0.044947677
0.3995,0.059817228
0.4,0.060447715
0.4005,0.061819265
0.401,0.072415265
0.4015,0.090062804
0.402,0.106697977
0.4025,0.111530812
0.403,0.105885986
0.4035,0.078802905
0.404,0.053142999
0.4045,0.050284286
0.405,0.051719538
0.4055,0.037607237
0.406,0.009371504
0.4065,-0.025075989
0.407,-0.050364512
0.4075,-0.066132865
0.408,-0.086292125
0.4085,-0.104981226
0.409,-0.107235337
0.4095,-0.098299701
0.41,-0.102832943
0.4105,-0.127689638
0.411,-0.165626722
0.4115,-0.205770524
0.412,-0.234811102
0.4125,-0.2391642
0.413,-0.219672729
0.4135,-0.187805666
0.414,-0.160812951
0.4145,-0.140567863
0.415,-0.123067436
0.4155,-0.099324602
0.416,-0.070289221
0.4165,-0.040997623
0.417,-0.029827634
0.4175,-0.014317339
0.418,0.019339743
0.4185,0.059517853
0.419,0.096040887
0.4195,0.136591621
0.42,0.171190852
0.4205,0.205927111
0.421,0.236347009
0.4215,0.265010536
0.422,0.289487065
0.4225,0.320924939
0.423,0.336555222
0.4235,0.315536525
0.424,0.247655695
0.4245,0.166579806
0.425,0.093300662
0.4255,0.036399743
0.426,-0.010450535
0.4265,-0.04067269
0.427,-0.066442961
0.4275,-0.096382409
0.428,-0.134010244
0.4285,-0.156352342
0.429,-0.165308537
0.4295,-0.175127618
0.43,-0.193830621
0.4305,-0.208416085
0.431,-0.198557493
0.4315,-0.152013676
0.432,-0.105984059
0.4325,-0.071557333
0.433,-0.05283099
0.4335,-0.046461993
0.434,-0.048456195
0.4345,-0.050495629
0.435,-0.059666379
0.4355,-0.061840074
0.436,-0.041663269
0.4365,-0.004758415
0.437,0.016454654
0.4375,0.01884377
0.438,0.024125417
0.4385,0.048962003
0.439,0.075282071
0.4395,0.082574795
0.44,0.068064764
0.4405,0.050637803
0.441,0.040322656
0.4415,0.030464367
0.442,0.018640147
0.4425,0.004543417
0.443,-0.02066799
0.4435,-0.060857905
0.444,-0.109150932
0.4445,-0.128337518
0.445,-0.106255686
0.4455,-0.073223407
0.446,-0.045315597
0.4465,-0.010815218
0.447,0.037927225
0.4475,0.097868068
0.448,0.140927219
0.4485,0.15040218
0.449,0.138238877
0.4495,0.134094436
0.45,0.139805003
0.4505,0.14028268
0.451,0.127025172
0.4515,0.113954352
0.452,0.101332062
0.4525,0.096699367
0.453,0.097191861
0.4535,0.110205563
