,Time,Values
189,0.0945,1.246334311
190,0.095,1.251221896
191,0.0955,1.275659824
192,0.096,1.314760508
193,0.0965,1.353861193
194,0.097,1.388074291
195,0.0975,1.417399804
196,0.098,1.42228739
197,0.0985,1.383186706
198,0.099,1.348973607
199,0.0995,1.329423265
200,0.1,1.300097752
201,0.1005,1.304985337
202,0.101,1.300097752
203,0.1015,1.251221896
204,0.102,1.221896383
205,0.1025,1.202346041
206,0.103,1.182795699
207,0.1035,1.187683284
208,0.104,1.202346041
209,0.1045,1.212121212
210,0.105,1.221896383
211,0.1055,1.221896383
212,0.106,1.197458456
213,0.1065,1.173020528
214,0.107,1.158357771
215,0.1075,1.1485826
216,0.108,1.124144673
217,0.1085,1.094819159
218,0.109,1.080156403
219,0.1095,1.085043988
220,0.11,1.080156403
221,0.1105,1.080156403
222,0.111,1.10459433
223,0.1115,1.158357771
224,0.112,1.217008798
225,0.1125,1.260997067
226,0.113,1.285434995
227,0.1135,1.300097752
228,0.114,1.358748778
229,0.1145,1.407624633
230,0.115,1.392961877
231,0.1155,1.383186706
232,0.116,1.373411535
233,0.1165,1.358748778
234,0.117,1.348973607
235,0.1175,1.33431085
236,0.118,1.300097752
237,0.1185,1.275659824
238,0.119,1.275659824
239,0.1195,1.28054741
240,0.12,1.285434995
241,0.1205,1.290322581
242,0.121,1.295210166
243,0.1215,1.290322581
244,0.122,1.28054741
245,0.1225,1.260997067
246,0.123,1.246334311
247,0.1235,1.241446725
248,0.124,1.231671554
249,0.1245,1.221896383
250,0.125,1.207233627
251,0.1255,1.19257087
252,0.126,1.187683284
253,0.1265,1.168132942
254,0.127,1.129032258
255,0.1275,1.129032258
256,0.128,1.158357771
257,0.1285,1.158357771
258,0.129,1.163245357
259,0.1295,1.182795699
260,0.13,1.207233627
261,0.1305,1.231671554
262,0.131,1.241446725
263,0.1315,1.226783969
264,0.132,1.231671554
265,0.1325,1.256109482
266,0.133,1.265884653
267,0.1335,1.265884653
268,0.134,1.270772239
269,0.1345,1.28054741
270,0.135,1.285434995
271,0.1355,1.270772239
272,0.136,1.23655914
273,0.1365,1.202346041
274,0.137,1.182795699
275,0.1375,1.177908113
276,0.138,1.168132942
277,0.1385,1.133919844
278,0.139,1.094819159
279,0.1395,1.065493646
280,0.14,1.036168133
281,0.1405,1.031280547
282,0.141,1.075268817
283,0.1415,1.138807429
284,0.142,1.182795699
285,0.1425,1.197458456
286,0.143,1.197458456
287,0.1435,1.19257087
288,0.144,1.221896383
289,0.1445,1.256109482
290,0.145,1.260997067
291,0.1455,1.275659824
292,0.146,1.329423265
293,0.1465,1.397849462
294,0.147,1.441837732
295,0.1475,1.471163245
296,0.148,1.471163245
297,0.1485,1.451612903
298,0.149,1.412512219
299,0.1495,1.373411535
300,0.15,1.348973607
301,0.1505,1.339198436
302,0.151,1.344086022
303,0.1515,1.353861193
304,0.152,1.329423265
305,0.1525,1.275659824
306,0.153,1.226783969
307,0.1535,1.187683284
308,0.154,1.158357771
309,0.1545,1.168132942
310,0.155,1.187683284
311,0.1555,1.182795699
312,0.156,1.177908113
313,0.1565,1.158357771
314,0.157,1.138807429
315,0.1575,1.158357771
316,0.158,1.173020528
317,0.1585,1.168132942
318,0.159,1.163245357
319,0.1595,1.182795699
320,0.16,1.207233627
321,0.1605,1.246334311
322,0.161,1.28054741
323,0.1615,1.314760508
324,0.162,1.348973607
325,0.1625,1.373411535
326,0.163,1.348973607
327,0.1635,1.309872923
328,0.164,1.285434995
329,0.1645,1.285434995
