,Time,Values
717,0.3585,2.712609971
718,0.359,2.712609971
719,0.3595,2.712609971
720,0.36,2.707722385
721,0.3605,2.707722385
722,0.361,2.712609971
723,0.3615,2.712609971
724,0.362,2.717497556
725,0.3625,2.727272727
726,0.363,2.737047898
727,0.3635,2.746823069
728,0.364,2.751710655
729,0.3645,2.746823069
730,0.365,2.751710655
731,0.3655,2.766373412
732,0.366,2.781036168
733,0.3665,2.785923754
734,0.367,2.785923754
735,0.3675,2.785923754
736,0.368,2.785923754
737,0.3685,2.781036168
738,0.369,2.781036168
739,0.3695,2.776148583
740,0.37,2.776148583
741,0.3705,2.771260997
742,0.371,2.771260997
743,0.3715,2.766373412
744,0.372,2.75659824
745,0.3725,2.746823069
746,0.373,2.746823069
747,0.3735,2.741935484
748,0.374,2.746823069
749,0.3745,2.751710655
750,0.375,2.751710655
751,0.3755,2.75659824
752,0.376,2.761485826
753,0.3765,2.75659824
754,0.377,2.75659824
755,0.3775,2.751710655
756,0.378,2.746823069
757,0.3785,2.741935484
758,0.379,2.737047898
759,0.3795,2.737047898
760,0.38,2.727272727
761,0.3805,2.722385142
762,0.381,2.722385142
763,0.3815,2.722385142
764,0.382,2.727272727
765,0.3825,2.727272727
766,0.383,2.732160313
767,0.3835,2.746823069
768,0.384,2.75659824
769,0.3845,2.761485826
770,0.385,2.75659824
771,0.3855,2.751710655
772,0.386,2.75659824
773,0.3865,2.75659824
774,0.387,2.751710655
775,0.3875,2.751710655
776,0.388,2.75659824
777,0.3885,2.75659824
778,0.389,2.761485826
779,0.3895,2.75659824
780,0.39,2.751710655
781,0.3905,2.746823069
782,0.391,2.741935484
783,0.3915,2.737047898
784,0.392,2.741935484
785,0.3925,2.75659824
786,0.393,2.75659824
787,0.3935,2.746823069
788,0.394,2.741935484
789,0.3945,2.737047898
790,0.395,2.732160313
791,0.3955,2.732160313
792,0.396,2.732160313
793,0.3965,2.737047898
794,0.397,2.732160313
795,0.3975,2.727272727
796,0.398,2.722385142
797,0.3985,2.732160313
798,0.399,2.746823069
799,0.3995,2.75659824
800,0.4,2.75659824
801,0.4005,2.751710655
802,0.401,2.75659824
803,0.4015,2.761485826
804,0.402,2.75659824
805,0.4025,2.751710655
806,0.403,2.75659824
807,0.4035,2.75659824
808,0.404,2.75659824
809,0.4045,2.751710655
810,0.405,2.741935484
811,0.4055,2.737047898
812,0.406,2.746823069
813,0.4065,2.746823069
814,0.407,2.741935484
815,0.4075,2.727272727
816,0.408,2.722385142
817,0.4085,2.722385142
818,0.409,2.732160313
819,0.4095,2.741935484
820,0.41,2.741935484
821,0.4105,2.737047898
822,0.411,2.737047898
823,0.4115,2.737047898
824,0.412,2.737047898
825,0.4125,2.737047898
826,0.413,2.737047898
827,0.4135,2.737047898
828,0.414,2.727272727
829,0.4145,2.737047898
830,0.415,2.751710655
831,0.4155,2.75659824
832,0.416,2.766373412
833,0.4165,2.771260997
834,0.417,2.781036168
835,0.4175,2.785923754
836,0.418,2.795698925
837,0.4185,2.80058651
838,0.419,2.805474096
839,0.4195,2.810361681
840,0.42,2.805474096
841,0.4205,2.795698925
842,0.421,2.785923754
843,0.4215,2.776148583
844,0.422,2.771260997
845,0.4225,2.766373412
846,0.423,2.75659824
847,0.4235,2.746823069
848,0.424,2.737047898
849,0.4245,2.737047898
850,0.425,2.741935484
851,0.4255,2.746823069
852,0.426,2.746823069
853,0.4265,2.746823069
854,0.427,2.732160313
855,0.4275,2.717497556
856,0.428,2.712609971
857,0.4285,2.722385142
858,0.429,2.722385142
859,0.4295,2.732160313
860,0.43,2.737047898
861,0.4305,2.732160313
862,0.431,2.727272727
863,0.4315,2.727272727
864,0.432,2.727272727
865,0.4325,2.727272727
866,0.433,2.737047898
867,0.4335,2.746823069
868,0.434,2.751710655
869,0.4345,2.761485826
870,0.435,2.771260997
871,0.4355,2.771260997
872,0.436,2.761485826
873,0.4365,2.751710655
874,0.437,2.746823069
875,0.4375,2.746823069
876,0.438,2.746823069
877,0.4385,2.746823069
878,0.439,2.741935484
879,0.4395,2.737047898
880,0.44,2.727272727
881,0.4405,2.717497556
882,0.441,2.7028348
883,0.4415,2.712609971
884,0.442,2.727272727
885,0.4425,2.737047898
886,0.443,2.737047898
887,0.4435,2.737047898
888,0.444,2.732160313
889,0.4445,2.732160313
890,0.445,2.737047898
891,0.4455,2.732160313
892,0.446,2.732160313
893,0.4465,2.741935484
894,0.447,2.746823069
895,0.4475,2.751710655
896,0.448,2.751710655
897,0.4485,2.746823069
898,0.449,2.751710655
