Time,Values
0.334,0.013165543
0.3345,0.014100699
0.335,0.021899177
0.3355,0.03548559
0.336,0.047937649
0.3365,0.055574701
0.337,0.052711699
0.3375,0.049038487
0.338,0.04701979
0.3385,0.049575843
0.339,0.052099365
0.3395,0.057802249
0.34,0.059541151
0.3405,0.058111329
0.341,0.050180874
0.3415,0.042420868
0.342,0.035081467
0.3425,0.031159176
0.343,0.027074344
0.3435,0.024671095
0.344,0.016678968
0.3445,0.007215546
0.345,-0.003375547
0.3455,-0.004545644
0.346,0.002017072
0.3465,0.008133912
0.347,-0.002937298
0.3475,-0.013177126
0.348,-0.013750828
0.3485,-0.007377082
0.349,-0.007987365
0.3495,-0.009291367
0.35,-0.013370432
0.3505,-0.013433186
0.351,-0.012930833
0.3515,-0.009025775
0.352,-0.01126082
0.3525,-0.012658575
0.353,-0.011857405
0.3535,-0.008487455
0.354,-0.009808941
0.3545,-0.016009898
0.355,-0.02588834
0.3555,-0.030885691
0.356,-0.03443616
0.3565,-0.036180544
0.357,-0.041873539
0.3575,-0.044665183
0.358,-0.044719636
0.3585,-0.036033179
0.359,-0.029035502
0.3595,-0.028155352
0.36,-0.035621162
0.3605,-0.042438502
0.361,-0.047539659
0.3615,-0.039765895
0.362,-0.034746525
0.3625,-0.029663406
0.363,-0.030284121
0.3635,-0.028122644
0.364,-0.026803526
0.3645,-0.021412093
0.365,-0.020521311
0.3655,-0.015585
0.366,-0.01013175
0.3665,0.004337862
0.367,0.010578669
0.3675,0.014868888
0.368,0.007856969
0.3685,0.008139127
0.369,0.008390664
0.3695,0.017594876
0.37,0.020079899
0.3705,0.02664957
0.371,0.019408709
0.3715,0.0144246
0.372,0.002558691
0.3725,0.001305604
0.373,0.001937778
0.3735,0.012240932
0.374,0.009465378
0.3745,0.009584527
0.375,0.008182132
0.3755,0.018695679
0.376,0.02404194
0.3765,0.037077252
0.377,0.035686816
0.3775,0.037412068
0.378,0.029998985
0.3785,0.033648425
0.379,0.032857615
0.3795,0.048194698
0.38,0.054334129
0.3805,0.063380142
0.381,0.056475759
0.3815,0.055642698
0.382,0.04727815
0.3825,0.049456475
0.383,0.046111309
0.3835,0.047628024
0.384,0.040374464
0.3845,0.038848805
0.385,0.030755744
0.3855,0.029847022
0.386,0.022751028
0.3865,0.02052075
0.387,0.011502666
0.3875,0.004224616
0.388,-0.000670626
0.3885,0.009336488
0.389,0.020724437
0.3895,0.026876325
0.39,0.026747385
0.3905,0.027104456
0.391,0.025049007
0.3915,0.024875391
0.392,0.020507082
0.3925,0.015631668
0.393,0.01397949
0.3935,0.017698331
0.394,0.018888155
0.3945,0.011568239
0.395,0.003766518
